institution	institution_url	repository_hosts	repo_urls	our_records	our_theses	docs_online	status	match_quality
A.T. Still University of Health Sciences				0	0	0	not-in-census	
Adler School of Professional Psychology				0	0	0	not-in-census	
Adventist University of Health Sciences				0	0	0	not-in-census	
Air Force Institute of Technology	https://afit.edu	scholar.afit.edu;hups.mil.gov.ua	https://scholar.afit.edu/;https://hups.mil.gov.ua/	11999	48	0	in-census	unambiguous
Alabama A&M University				0	0	0	not-in-census	
Alaska Pacific University				0	0	0	not-in-census	
Albany College of Pharmacy and Health Sciences				0	0	0	not-in-census	
Alfred University Herrick Memorial Library				0	0	0	not-in-census	
Alfred University, Kazuo Inamori School of Engineering				0	0	0	not-in-census	
Alliant International University				0	0	0	not-in-census	
Alvernia University				0	0	0	not-in-census	
American University				0	0	0	not-in-census	
Andrews University	https://andrews.edu	digitalcommons.andrews.edu;research-repository.st-andrews.ac.uk	https://digitalcommons.andrews.edu/;https://research-repository.st-andrews.ac.uk/	66692	7	0	in-census	unambiguous
Aquinas Institute of Theology				0	0	0	not-in-census	
Argosy University, Seattle, College of Business				0	0	0	not-in-census	
Arizona State University				0	0	0	not-in-census	
Arkansas State University	https://astate.edu	arch.astate.edu;orc.library.atu.edu;research.ualr.edu;scholarworks.uark.edu	https://arch.astate.edu/;https://orc.library.atu.edu/;https://research.ualr.edu/;https://scholarworks.uark.edu/	50353	2823	0	in-census	ambiguous
Arkansas Tech University	https://atu.edu	orc.library.atu.edu	https://orc.library.atu.edu/	6761	189	0	in-census	ambiguous
Asbury Theological Seminary	https://asburyseminary.edu	place.asburyseminary.edu;dspace.lancasterseminary.edu;ir.taitheo.org.tw:8080;digitalcommons.fuller.edu	https://place.asburyseminary.edu/;https://dspace.lancasterseminary.edu/;https://ir.taitheo.org.tw:8080/;https://digitalcommons.fuller.edu/	40113	7	0	in-census	ambiguous
Assemblies of God Theological Seminary	https://asburyseminary.edu	place.asburyseminary.edu	https://place.asburyseminary.edu/	40113	7	0	in-census	ambiguous
Austin Presbyterian Theological Seminary	https://asburyseminary.edu	place.asburyseminary.edu	https://place.asburyseminary.edu/	40113	7	0	in-census	ambiguous
Ave Maria University				0	0	0	not-in-census	
Azusa Pacific University				0	0	0	not-in-census	
Baker College Center for Graduate Studies				0	0	0	not-in-census	
Ball State University	https://bsu.edu	cardinalscholar.bsu.edu	https://cardinalscholar.bsu.edu/	28766	25777	0	in-census	unambiguous
Barry University	https://barry.edu	lawpublications.barry.edu	https://lawpublications.barry.edu/	566	0	0	in-census	unambiguous
Bastyr University				0	0	0	not-in-census	
Baylor College of Dentistry				0	0	0	not-in-census	
Baylor University Graduate School	https://baylor.edu	beardocs.baylor.edu	https://beardocs.baylor.edu/	7446	0	0	in-census	unambiguous
Bentley University	https://bentley.edu	scholars.bentley.edu	https://scholars.bentley.edu/	435	78	0	in-census	unambiguous
Bethune-Cookman University				0	0	0	not-in-census	
Binghamton University (SUNY) - Graduate School				0	0	0	not-in-census	
Biola University	https://biola.edu	digitalcommons.biola.edu	https://digitalcommons.biola.edu/	0	0	0	in-census	unambiguous
Blessing-Reiman College of Nursing				0	0	0	not-in-census	
Boston College	https://bu.edu	scholarship.law.bu.edu;scholarworks.umb.edu;open.bu.edu;lawdigitalcommons.bc.edu	https://scholarship.law.bu.edu/;https://scholarworks.umb.edu/;https://open.bu.edu/;https://lawdigitalcommons.bc.edu/	65392	28400	0	in-census	ambiguous
Boston University	https://bu.edu	scholarship.law.bu.edu;scholarworks.umb.edu;open.bu.edu;lawdigitalcommons.bc.edu	https://scholarship.law.bu.edu/;https://scholarworks.umb.edu/;https://open.bu.edu/;https://lawdigitalcommons.bc.edu/	65392	28400	0	in-census	ambiguous
Bowie State University				0	0	0	not-in-census	
Bradley University				0	0	0	not-in-census	
Brandeis University International Business School				0	0	0	not-in-census	
Brandeis University, Graduate School of Arts & Sciences				0	0	0	not-in-census	
Brandeis University-The Heller School for Social Policy				0	0	0	not-in-census	
and Management				0	0	0	not-in-census	
Brandman University	https://brandman.edu	digitalcommons.brandman.edu	https://digitalcommons.brandman.edu/	0	0	0	in-census	unambiguous
Brigham Young University	https://byuh.edu	digitalcollections.byuh.edu;digitalcommons.law.byu.edu;scholarsarchive.byu.edu;etd.byu.edu	https://digitalcollections.byuh.edu/;https://digitalcommons.law.byu.edu/;https://scholarsarchive.byu.edu/;https://etd.byu.edu/	139449	30	0	in-census	unambiguous
Bryn Mawr College	https://brynmawr.edu	repository.brynmawr.edu	https://repository.brynmawr.edu/	4864	274	0	in-census	ambiguous
Bryn Mawr College Graduate School of Social Work and Social Research	https://brynmawr.edu	repository.brynmawr.edu	https://repository.brynmawr.edu/	4864	274	0	in-census	ambiguous
Burapha University, Graduate School of Commerce				0	0	0	not-in-census	
Caldwell College				0	0	0	not-in-census	
California Institute of Integral Studies	https://ciis.edu	digitalcommons.ciis.edu	https://digitalcommons.ciis.edu/	1673	3	0	in-census	unambiguous
California Institute of Technology				0	0	0	not-in-census	
California Lutheran University-Pearson Library				0	0	0	not-in-census	
California State University, East Bay	https://csumb.edu	digitalcommons.csumb.edu	https://digitalcommons.csumb.edu/	12168	21	0	in-census	unambiguous
California State University, Fresno				0	0	0	not-in-census	
California State University, Los Angeles				0	0	0	not-in-census	
California State University, Stanislaus Library				0	0	0	not-in-census	
California University of Pennsylvania, School of Graduate Studies				0	0	0	not-in-census	
and Research				0	0	0	not-in-census	
Cambridge College-School of Education				0	0	0	not-in-census	
Capella University				0	0	0	not-in-census	
Cardiff University	https://cf.ac.uk	orca.cf.ac.uk;repository.cardiffmet.ac.uk	https://orca.cf.ac.uk/;https://repository.cardiffmet.ac.uk/	0	0	0	in-census	unambiguous
Cardinal Stritch University	https://stritch.edu	digitalcommons.stritch.edu	https://digitalcommons.stritch.edu/	0	0	0	in-census	unambiguous
Carlow University				0	0	0	not-in-census	
Cedars-Sinai Medical Center				0	0	0	not-in-census	
Central Michigan University				0	0	0	not-in-census	
Chapman University	https://chapman.edu	digitalcommons.chapman.edu	https://digitalcommons.chapman.edu/	38012	9	0	in-census	unambiguous
Chestnut Hill College				0	0	0	not-in-census	
Chicago State University				0	0	0	not-in-census	
City College of New York				0	0	0	not-in-census	
City University of New York (CUNY)-Graduate Center,	https://cuny.edu	academicworks.cuny.edu	https://academicworks.cuny.edu/	35429	229	0	in-census	unambiguous
Mina Rees Library				0	0	0	not-in-census	
City University of Seattle	https://nusystem.org	repository.nusystem.org;repository.cityu.edu	https://repository.nusystem.org/;https://repository.cityu.edu/	5323	235	0	in-census	unambiguous
Claremont Graduate University	https://claremont.edu	scholarship.claremont.edu;ccdl.libraries.claremont.edu	https://scholarship.claremont.edu/;https://ccdl.libraries.claremont.edu/	19182	3	0	in-census	unambiguous
Clark University	https://clarku.edu	commons.clarku.edu;democracyeducationjournal.org;lawcommons.lclark.edu;radar.auctr.edu	https://commons.clarku.edu/;https://democracyeducationjournal.org/;https://lawcommons.lclark.edu/;https://radar.auctr.edu/	118762	410	0	in-census	ambiguous
Clarkson University				0	0	0	not-in-census	
Clemson University	https://clemson.edu	open.clemson.edu;tigerprints.clemson.edu	https://open.clemson.edu/;https://tigerprints.clemson.edu/	85634	8490	0	in-census	unambiguous
Coastal Carolina University	https://coastal.edu	digitalcommons.coastal.edu	https://digitalcommons.coastal.edu/	8831	251	0	in-census	unambiguous
College of Charleston, South Carolina-The Graduate School				0	0	0	not-in-census	
College of Medicine, Mayo Clinic				0	0	0	not-in-census	
College of Saint Elizabeth				0	0	0	not-in-census	
College of Saint Mary-Graduate Studies				0	0	0	not-in-census	
College of St. Scholastica				0	0	0	not-in-census	
Colorado School of Mines				0	0	0	not-in-census	
Colorado State University				0	0	0	not-in-census	
Colorado Technical University				0	0	0	not-in-census	
Columbia International University				0	0	0	not-in-census	
Columbia University				0	0	0	not-in-census	
Columbia University, Mailman School of Public Health				0	0	0	not-in-census	
Concordia University Chicago				0	0	0	not-in-census	
Concordia University College of Alberta				0	0	0	not-in-census	
Corcoran College of Art + Design				0	0	0	not-in-census	
Creighton University				0	0	0	not-in-census	
Dallas Baptist University				0	0	0	not-in-census	
Dartmouth College, Office of Graduate Studies				0	0	0	not-in-census	
DeSales University				0	0	0	not-in-census	
Drake University	https://drake.edu	lib.drake.edu:8080	https://lib.drake.edu:8080/	0	0	0	in-census	unambiguous
Drew University	https://drew.edu	works.drew.edu	https://works.drew.edu/	0	0	0	in-census	unambiguous
Drexel University	https://drexel.edu	idea.library.drexel.edu	https://idea.library.drexel.edu/	0	0	0	in-census	unambiguous
